tool_id,num_jobs,avg_runtime_seconds,median_runtime_seconds,p95_runtime_seconds,avg_allocated_memory_gb,median_allocated_memory_gb,p95_allocated_memory_gb,avg_job_cost,median_job_cost,p95_job_cost,avg_input_size_mb,median_input_size_mb,p95_input_size_mb
cshl_fastx_collapser,24937,28,10,99,7.9,7.7,7.7,0.00050,0.00017,0.00170,134.2,1.0,427.0
cshl_fastx_nucleotides_distribution,872,37,11,132,7.1,7.7,7.7,0.00057,0.00019,0.00206,1.0,1.0,1.0
cshl_fastx_quality_statistics,8164,205,36,742,7.1,7.7,7.7,0.00336,0.00058,0.01216,904.2,79.0,4001.0
cshl_fastx_renamer,3430,245,20,394,7.4,7.7,7.7,0.00415,0.00032,0.00660,509.1,27.0,1410.0
cshl_fastx_reverse_complement,9075,77,13,152,7.5,7.7,7.7,0.00131,0.00022,0.00254,142.3,4.0,416.9
cshl_fastx_trimmer,48403,174,12,684,7.6,7.7,7.7,0.00294,0.00020,0.01152,382.9,7.0,1844.0
csv_to_tabular,33505,29,11,77,7.4,7.7,7.7,0.00047,0.00019,0.00128,13.2,1.0,9.0
ctb_alignit,105288,31,11,94,7.7,7.7,7.7,0.00053,0.00019,0.00160,1.0,1.0,1.0
ctb_alignit_create_db,8,1990,17,9202,7.7,7.7,7.7,0.03387,0.00029,0.15662,429.1,1.0,1987.0
ctb_chemfp_butina_clustering,15,55,12,200,27.4,30.7,30.7,0.00284,0.00106,0.00873,1.0,1.0,1.0
ctb_chemfp_mol2fps,37,24,12,63,6.7,7.7,7.7,0.00039,0.00020,0.00107,4.5,1.0,16.0
ctb_chemfp_nxn_clustering,12,59,28,178,7.7,7.7,7.7,0.00100,0.00047,0.00303,1.0,1.0,1.0
ctb_frankenstein_ligand,109,25,9,78,7.4,7.7,7.7,0.00038,0.00015,0.00132,6.3,1.0,1.0
ctb_im_cluster_butina,1,16,16,16,7.7,7.7,7.7,0.00027,0.00027,0.00027,1.0,1.0,1.0
ctb_im_o3dalign,1,15,15,15,7.7,7.7,7.7,0.00026,0.00026,0.00026,1.0,1.0,1.0
ctb_im_pbf_ev,3,25,17,40,7.7,7.7,7.7,0.00042,0.00029,0.00069,1.0,1.0,1.0
ctb_im_standardize,2,171,170,301,7.7,7.7,7.7,0.00290,0.00290,0.00511,7.5,7.5,13.4
ctb_mordred_descriptors,3,86,101,123,7.7,7.7,7.7,0.00146,0.00172,0.00209,1.0,1.0,1.0
ctb_np-likeness-calculator,7,407,17,1925,7.7,7.7,7.7,0.00693,0.00029,0.03277,2.4,1.0,8.0
ctb_osra,1,31,31,31,7.7,7.7,7.7,0.00053,0.00053,0.00053,1.0,1.0,1.0
ctb_rdkit_descriptors,11,24,20,42,5.9,7.5,7.7,0.00036,0.00027,0.00072,1.0,1.0,1.0
ctb_sdf2fps,10,10,10,18,7.7,7.7,7.7,0.00018,0.00016,0.00030,1.0,1.0,1.0
ctb_silicos_qed,90,25,11,23,7.7,7.7,7.7,0.00043,0.00019,0.00038,1.2,1.0,1.0
cuffcompare,786,120,80,349,7.7,7.7,7.7,0.00206,0.00137,0.00594,854.0,282.0,3179.8
cuffdiff,6740,4417,1190,18054,30.8,30.7,30.7,0.40787,0.11367,1.63624,9452.4,3769.0,40488.2
cufflinks,29585,2489,436,11538,30.4,30.7,30.7,0.23173,0.04134,1.07012,1962.8,1075.0,6438.0
cuffmerge,6001,364,39,694,30.3,30.7,30.7,0.03168,0.00339,0.06116,398.0,27.0,2370.0
cuffnorm,310,3127,1030,12152,29.6,30.0,30.7,0.29542,0.09794,1.22397,14733.8,9593.5,64608.8
cuffquant,563,1256,676,3580,29.5,30.1,30.7,0.11307,0.05907,0.31913,3197.1,1776.0,10895.7
cummerbund,611,110,57,313,14.3,15.4,15.4,0.00278,0.00145,0.00784,241.2,307.0,419.5
cummerbund_to_cuffdiff,34,36,11,128,4.9,3.8,7.7,0.00056,0.00013,0.00219,85.4,1.0,400.4
custom_pro_db,238,8513,3330,26423,7.4,7.7,7.7,0.14482,0.05669,0.44970,4447.7,1972.0,14448.9
cut1,202176,20,9,59,7.5,7.7,7.7,0.00034,0.00015,0.00099,59.3,1.0,27.0
cutadapt,167606,198,31,763,29.5,30.7,30.7,0.01820,0.00282,0.07031,1638.8,245.0,6689.0
cwpair2,12,35,22,79,4.1,3.8,7.7,0.00042,0.00026,0.00098,1.8,1.0,5.9
dada2_assigntaxonomyaddspecies,1334,1282,226,5540,29.8,30.7,30.7,0.11560,0.02123,0.49558,111.6,76.0,372.7
dada2_dada,6820,566,52,2595,28.9,30.0,30.7,0.05158,0.00459,0.23805,72.9,9.0,370.0
dada2_filterandtrim,36630,131,61,275,7.8,7.7,7.7,0.00229,0.00107,0.00475,77.4,19.0,171.0
dada2_learnerrors,2289,1131,228,3343,28.0,30.7,30.7,0.10004,0.01902,0.25859,210.5,29.0,1032.0
dada2_makesequencetable,1297,110,44,213,7.3,7.7,7.7,0.00156,0.00073,0.00340,2.7,1.0,8.2
dada2_mergepairs,20955,81,51,174,7.4,7.7,7.7,0.00132,0.00087,0.00291,16.7,12.0,44.0
dada2_plotcomplexity,685,167,55,438,6.7,7.7,7.7,0.00238,0.00089,0.00704,558.8,14.0,3321.0
dada2_plotqualityprofile,2574,187,58,691,7.2,7.7,7.7,0.00300,0.00097,0.01102,675.0,26.0,3321.0
dada2_removebimeradenovo,1908,761,47,1718,7.4,7.7,7.7,0.01278,0.00080,0.02849,2.4,1.0,6.0
dada2_seqcounts,763,118,46,337,6.9,7.7,7.7,0.00169,0.00077,0.00448,73.3,1.0,291.3
datamash_ops,46933,16,10,43,7.6,7.7,7.7,0.00027,0.00017,0.00073,27.5,1.0,36.0
datamash_reverse,5768,24,10,80,7.5,7.7,7.7,0.00040,0.00017,0.00134,35.2,1.0,40.0
datamash_transpose,6517,35,10,100,7.7,7.7,8.2,0.00061,0.00017,0.00170,13.7,1.0,14.2
datasets_download_gene,2,24,24,38,7.7,7.7,7.7,0.00041,0.00041,0.00063,1.0,1.0,1.0
datasets_download_genome,59,154,32,246,7.3,7.7,7.7,0.00257,0.00054,0.00397,1.0,1.0,1.0
dbkit_create,14,21534,76,85081,6.1,7.5,7.7,0.36638,0.00130,1.44803,891.1,1.0,4361.5
dbkit_extract,1,12,12,12,3.8,3.8,3.8,0.00015,0.00015,0.00015,9.0,9.0,9.0
dbkit_merge,1,12,12,12,3.8,3.8,3.8,0.00015,0.00015,0.00015,12.0,12.0,12.0
deeptools_bam_compare,13836,927,330,3176,29.9,30.0,30.7,0.08866,0.03194,0.31360,3682.1,2398.0,11620.0
deeptools_bam_coverage,94082,784,235,2808,30.0,30.0,30.7,0.07611,0.02200,0.29497,1666.8,1063.0,5272.0
deeptools_bam_pe_fragmentsize,393,231,34,530,28.8,30.0,30.7,0.02335,0.00299,0.04792,5983.7,3358.0,17524.8
deeptools_bigwig_average,301,9369,7899,23405,5.3,7.7,7.7,0.13711,0.10469,0.36844,266.3,127.0,857.0
deeptools_bigwig_compare,9651,2920,279,13602,30.1,30.7,30.7,0.26305,0.02756,1.21260,216.0,53.0,865.0
deeptools_compute_gc_bias,619,1783,1243,4771,29.8,30.7,30.7,0.16165,0.11369,0.42057,1959.6,1582.0,4947.1
deeptools_compute_matrix,83941,649,78,2119,30.4,30.7,30.7,0.06114,0.00744,0.19925,624.6,260.0,2286.0
deeptools_correct_gc_bias,289,1536,779,3478,29.0,29.9,30.7,0.14417,0.07692,0.30608,2047.9,1376.0,4905.0
deeptools_multi_bam_summary,5106,1782,386,6320,29.9,30.1,30.7,0.16786,0.03687,0.60208,11307.4,5115.0,43983.7
deeptools_multi_bigwig_summary,5544,495,39,1148,30.7,30.7,30.7,0.04586,0.00370,0.11622,1387.3,616.0,4357.7
deeptools_plot_correlation,9576,66,24,167,8.3,7.7,7.7,0.00114,0.00043,0.00289,7.1,1.0,30.0
deeptools_plot_coverage,1577,1138,190,3850,30.0,30.7,30.7,0.10340,0.01707,0.33985,4096.5,409.0,16588.8
deeptools_plot_enrichment,432,1378,198,5023,19.6,29.9,30.7,0.05020,0.00985,0.14375,7371.7,3589.0,24784.5
deeptools_plot_fingerprint,3019,939,327,3414,29.7,30.1,30.7,0.08384,0.02908,0.29468,6347.3,3126.0,24636.0
deeptools_plot_heatmap,83505,80,29,215,8.5,7.7,7.7,0.00140,0.00051,0.00381,16.9,3.0,81.8
deeptools_plot_pca,2992,87,24,154,8.2,7.7,7.7,0.00150,0.00043,0.00264,11.6,2.0,40.0
deeptools_plot_profile,33243,49,21,144,8.1,7.7,7.7,0.00086,0.00036,0.00250,17.7,2.0,83.0
deepvariant,444,12130,8252,44438,24.9,29.9,30.7,0.93703,0.39575,3.93189,2021.1,133.0,5591.0
deg_annotate,23474,246,189,644,7.4,7.7,7.7,0.00404,0.00316,0.01067,659.9,517.0,1493.0
deseq2,62909,220,65,433,29.3,30.7,30.7,0.01975,0.00556,0.03630,56.7,4.0,170.0
dexseq,494,8646,4696,26808,29.3,30.7,30.7,0.77216,0.43288,2.40106,150.2,126.0,346.4
dexseq_count,5805,6441,4721,18728,8.6,7.7,25.6,0.11345,0.08382,0.33005,2699.6,2039.0,7620.0
diffbind,4242,863,508,2377,7.8,7.7,7.7,0.01493,0.00871,0.04083,16367.7,10355.0,49221.0
disco,729,2353,39,10794,29.2,30.7,30.7,0.21297,0.00335,0.96360,1769.9,50.0,6471.2
dividepgsnp,25,14,9,41,7.5,7.7,7.7,0.00024,0.00015,0.00070,10.0,1.0,1.0
docking,36999,214,11,537,30.1,30.7,30.7,0.01939,0.00097,0.04874,1.3,1.0,1.0
dpocket,1,10,10,10,7.7,7.7,7.7,0.00017,0.00017,0.00017,1.0,1.0,1.0
dropletutils,1730,206,84,613,7.2,7.7,7.7,0.00340,0.00139,0.01006,135.1,110.0,516.0
dropletutils_empty_drops,146,78,32,302,7.2,7.7,7.7,0.00123,0.00052,0.00514,16.2,6.0,64.0
dropletutils_read_10x,228,80,40,266,6.8,7.7,7.7,0.00128,0.00057,0.00384,150.7,53.0,522.7
dunovo,182,377,316,1352,29.0,30.7,30.7,0.03565,0.02975,0.13220,5190.1,3388.0,13995.0
duplex,6,1060,908,2288,7.6,7.6,7.7,0.01803,0.01546,0.03894,15158.0,11625.0,29059.5
dwt_var1,1,18,18,18,3.8,3.8,3.8,0.00022,0.00022,0.00022,1.0,1.0,1.0
edger,13009,110,36,305,8.1,7.7,7.7,0.00192,0.00063,0.00530,26.9,2.0,54.0
egsea,1122,1788,392,7666,29.2,30.7,30.7,0.15513,0.03313,0.67460,3.0,1.0,11.0
emboss: antigenic1,58,186,16,693,7.4,7.7,7.7,0.00316,0.00027,0.01180,4.1,1.0,8.0
emboss: backtranseq2,141,66,11,118,7.5,7.7,7.7,0.00110,0.00019,0.00182,12.5,1.0,78.0
emboss: banana3,7,126,10,565,7.2,7.7,7.7,0.00215,0.00017,0.00962,35.3,1.0,168.6
emboss: biosed4,22,45,26,167,7.2,7.7,7.7,0.00075,0.00041,0.00285,236.3,2.5,871.8
emboss: cai6,43,22,11,58,7.6,7.7,7.7,0.00037,0.00019,0.00099,14.1,1.0,80.0
emboss: cai_custom6,16,14,11,27,7.6,7.7,7.7,0.00023,0.00019,0.00046,10.6,5.5,32.5
emboss: chaos7,6,64,11,255,7.7,7.7,7.7,0.00110,0.00019,0.00435,1.0,1.0,1.0
emboss: charge8,90,27,10,113,7.6,7.7,7.7,0.00045,0.00017,0.00193,1.9,1.0,1.6
emboss: checktrans9,67,38,43,66,7.5,7.5,7.7,0.00065,0.00073,0.00113,73.1,25.0,180.3
emboss: chips10,56,27,10,50,7.6,7.7,7.7,0.00046,0.00016,0.00086,11.5,1.0,61.0
emboss: cirdna11,1,9,9,9,7.7,7.7,7.7,0.00015,0.00015,0.00015,1.0,1.0,1.0
emboss: coderet13,41,23,10,51,7.5,7.7,7.7,0.00038,0.00017,0.00087,9.0,1.0,36.0
emboss: compseq14,2791,26,12,53,7.5,7.7,7.7,0.00042,0.00020,0.00090,26.2,2.0,57.0
emboss: cpgplot15,759,112,90,292,7.4,7.7,7.7,0.00187,0.00151,0.00486,40.7,28.0,97.0
emboss: cpgreport16,307,197,28,273,6.7,7.7,7.7,0.00302,0.00041,0.00443,123.5,14.0,428.5
emboss: cusp17,898,24,11,48,7.6,7.7,7.7,0.00041,0.00019,0.00082,23.6,2.0,57.0
emboss: cutseq18,23,17,9,59,7.3,7.7,7.7,0.00025,0.00015,0.00068,3521.9,62.0,34578.8
emboss: dan19,62,776,9,124,7.6,7.7,7.7,0.01320,0.00015,0.00211,12.2,1.0,1.0
emboss: degapseq20,66,27,10,57,7.6,7.7,7.7,0.00045,0.00017,0.00097,14.7,2.0,68.2
emboss: diffseq22,58,1521,11,639,7.5,7.7,7.7,0.02588,0.00019,0.01088,9.4,5.0,24.0
emboss: digest23,48,23,17,67,5.8,5.8,5.8,0.00034,0.00025,0.00098,2.1,2.0,3.0
emboss: dotmatcher24,495,657,10,64,7.6,7.7,7.7,0.01096,0.00017,0.00109,2.3,1.0,1.0
emboss: dotpath25,126,14,10,42,7.6,7.7,7.7,0.00024,0.00017,0.00071,1.0,1.0,1.0
emboss: dottup26,265,9,9,13,7.7,7.7,7.7,0.00016,0.00015,0.00022,1.0,1.0,1.0
emboss: dreg27,14,9,9,14,7.7,7.7,7.7,0.00016,0.00015,0.00023,3.6,5.0,6.4
emboss: einverted28,217,1181,19,1724,7.2,7.7,7.7,0.01943,0.00032,0.02646,42.4,1.0,50.8
emboss: epestfind29,3,35,12,74,7.7,7.7,7.7,0.00059,0.00020,0.00126,1.0,1.0,1.0
emboss: equicktandem31,184,131,11,561,7.5,7.7,7.7,0.00210,0.00019,0.00955,218.8,1.0,1313.0
emboss: est2genome32,6,5492,78,23279,7.4,7.7,7.7,0.09347,0.00133,0.39620,33.7,1.0,146.0
emboss: etandem33,175,1736,12,3156,7.5,7.7,7.7,0.02928,0.00020,0.05371,497.3,1.0,1305.5
emboss: extractfeat34,1424,31,10,99,7.6,7.7,7.7,0.00053,0.00017,0.00167,1.5,1.0,1.0
emboss: extractseq35,3951,17,10,30,7.6,7.7,7.7,0.00028,0.00017,0.00051,15.5,1.0,7.0
emboss: freak36,598,34,12,91,7.3,7.7,7.7,0.00056,0.00020,0.00145,21.4,1.0,57.0
emboss: fuzznuc37,431,39,10,113,7.5,7.7,7.7,0.00066,0.00017,0.00190,209.8,4.0,266.0
emboss: fuzzpro38,59,128,10,684,7.6,7.7,7.7,0.00217,0.00017,0.01164,1552.2,1.0,4029.5
emboss: fuzztran39,1,6,6,6,7.7,7.7,7.7,0.00010,0.00010,0.00010,1.0,1.0,1.0
emboss: garnier40,80,23,11,84,7.1,7.7,7.7,0.00038,0.00017,0.00142,2.3,1.0,8.0
emboss: geecee41,3988,38,9,39,7.7,7.7,7.7,0.00064,0.00015,0.00066,13.4,1.0,51.0
emboss: getorf42,2823,183,16,470,7.6,7.7,7.7,0.00311,0.00027,0.00800,330.7,8.0,2465.8
emboss: helixturnhelix43,42,25,10,75,7.7,7.7,7.7,0.00043,0.00017,0.00127,29.7,1.0,13.0
emboss: hmoment44,2,49,49,85,6.8,6.8,7.6,0.00082,0.00082,0.00144,1.0,1.0,1.0
emboss: iep45,542,12,10,22,7.7,7.7,7.7,0.00020,0.00017,0.00037,1.5,2.0,2.0
emboss: infoseq46,1761,18,10,52,7.6,7.7,7.7,0.00030,0.00017,0.00089,11.1,1.0,57.0
emboss: isochore47,8,16,11,33,7.7,7.7,7.7,0.00028,0.00019,0.00056,382.3,36.5,1790.0
emboss: marscan49,7,257,12,1208,7.7,7.7,7.7,0.00438,0.00020,0.02056,1557.7,1.0,7627.4
emboss: maskfeat50,7,33,8,105,7.7,7.7,7.7,0.00056,0.00014,0.00178,276.0,1.0,984.6
emboss: maskseq51,21,547,12,3543,7.6,7.7,7.7,0.00852,0.00020,0.06030,42.9,1.0,32.0
emboss: matcher52,76,19,10,68,7.7,7.7,7.7,0.00033,0.00017,0.00115,43.3,1.0,1.0
emboss: megamerger53,13,19,10,64,7.4,7.7,7.7,0.00030,0.00017,0.00099,49.2,1.0,250.2
emboss: merger54,90,39,10,250,7.4,7.7,7.7,0.00060,0.00017,0.00368,97.5,1.0,1.6
emboss: msbar55,1,17,17,17,7.7,7.7,7.7,0.00029,0.00029,0.00029,33.0,33.0,33.0
emboss: needle56,1307,25,10,94,7.6,7.7,7.7,0.00042,0.00017,0.00161,11.7,1.0,1.0
emboss: newcpgreport57,439,40,22,103,7.6,7.7,7.7,0.00067,0.00037,0.00174,39.9,57.0,95.0
emboss: newcpgseek58,499,25,14,52,7.6,7.7,7.7,0.00042,0.00024,0.00089,59.9,57.0,155.1
emboss: noreturn60,2,129,128,152,4.3,4.3,5.7,0.00162,0.00162,0.00172,3184.5,3184.5,6045.2
emboss: notseq61,2,10,10,13,7.7,7.7,7.7,0.00017,0.00017,0.00022,1.0,1.0,1.0
emboss: nthseq62,10,13,10,26,7.1,7.7,7.7,0.00020,0.00015,0.00044,111.8,4.0,512.0
emboss: octanol63,12,21,10,64,7.7,7.7,7.7,0.00036,0.00016,0.00109,1.2,1.0,1.9
emboss: palindrome65,197,1057,14,1724,7.4,7.7,7.7,0.01797,0.00024,0.02935,49.4,1.0,17.2
emboss: pasteseq66,4,9,8,11,7.7,7.7,7.7,0.00015,0.00014,0.00018,1561.8,51.0,5230.1
emboss: patmatdb67,170,649,9,77,7.7,7.7,7.7,0.01105,0.00015,0.00130,8.6,1.0,6.0
emboss: pepcoil68,5,1267,10,5037,7.3,7.7,7.7,0.02156,0.00017,0.08572,2.4,1.0,6.6
emboss: pepinfo69,119,11,9,16,7.7,7.7,7.7,0.00019,0.00015,0.00027,1.0,1.0,1.0
emboss: pepnet70,11,29,10,105,7.7,7.7,7.7,0.00049,0.00017,0.00179,1.0,1.0,1.0
emboss: pepstats71,965,16,10,51,7.7,7.7,7.7,0.00027,0.00017,0.00086,1.6,1.0,2.0
emboss: pepwheel72,46,16,11,36,7.6,7.7,7.7,0.00027,0.00019,0.00062,2.4,1.0,7.5
emboss: pepwindow73,106,10,9,14,7.7,7.7,7.7,0.00017,0.00015,0.00024,1.0,1.0,1.0
emboss: pepwindowall74,13,29,10,130,7.7,7.7,7.7,0.00050,0.00017,0.00221,27.4,1.0,138.8
emboss: plotcon75,40,1563,22,5495,7.6,7.7,7.7,0.02658,0.00039,0.09353,4.1,1.0,12.4
emboss: plotorf76,87,15,10,48,7.4,7.7,7.7,0.00025,0.00017,0.00082,15.3,1.0,41.6
emboss: polydot77,69,101,11,155,7.7,7.7,7.7,0.00172,0.00019,0.00263,1.1,1.0,1.0
emboss: preg78,34,12,11,21,7.6,7.7,7.7,0.00021,0.00019,0.00033,1.0,1.0,1.0
emboss: prettyplot79,61,311,9,1622,7.7,7.7,7.7,0.00529,0.00015,0.02761,1.3,1.0,4.0
emboss: prettyseq80,8,9,9,11,7.6,7.7,7.7,0.00015,0.00015,0.00019,3.5,1.0,11.6
emboss: primersearch81,576,560,160,2605,7.6,7.7,7.7,0.00953,0.00273,0.04433,568.2,958.0,1041.0
emboss: revseq82,619,32,11,86,7.6,7.7,7.7,0.00055,0.00019,0.00143,33.2,1.0,139.0
emboss: seqmatchall83,15,8252,14,37379,7.2,7.7,7.7,0.14043,0.00024,0.63617,1.0,1.0,1.0
emboss: seqret84,481,76,11,113,7.6,7.7,7.7,0.00130,0.00019,0.00192,6.1,1.0,10.0
emboss: shuffleseq87,225,18,12,38,7.7,7.7,7.7,0.00031,0.00020,0.00065,8.7,2.0,56.0
emboss: sigcleave88,25,14,10,42,7.2,7.7,7.7,0.00024,0.00017,0.00071,2.4,1.0,1.0
emboss: sirna89,53,67,10,327,7.6,7.7,7.7,0.00113,0.00017,0.00557,18.3,1.0,151.8
emboss: sixpack90,92,38,11,202,7.6,7.7,7.7,0.00064,0.00019,0.00344,435.8,1.0,561.4
emboss: skipseq91,789,17,9,70,7.6,7.7,7.7,0.00029,0.00015,0.00119,1.0,1.0,1.0
emboss: splitter92,147,116,23,109,7.6,7.7,7.7,0.00197,0.00039,0.00186,490.4,56.0,375.0
emboss: supermatcher95,21,338,12,144,7.7,7.7,7.7,0.00574,0.00020,0.00245,19.2,1.0,31.0
emboss: syco96,21,10,9,15,7.6,7.7,7.7,0.00017,0.00015,0.00026,6.6,1.0,25.0
emboss: tcode97,4,88,10,277,6.8,6.8,7.7,0.00148,0.00016,0.00471,36.0,1.0,120.0
emboss: textsearch98,10,172,82,447,7.5,7.7,7.7,0.00282,0.00139,0.00713,1322.4,710.5,3265.6
emboss: tmap99,13,65,16,187,7.2,7.7,7.7,0.00105,0.00027,0.00319,1.2,1.0,2.0
emboss: tranalign100,12,16,10,45,7.6,7.7,7.7,0.00028,0.00018,0.00076,1.0,1.0,1.0
emboss: transeq101,4989,45,12,101,7.6,7.7,7.7,0.00076,0.00020,0.00172,150.2,1.0,724.2
emboss: trimest102,128,151,14,451,7.7,7.7,7.7,0.00256,0.00023,0.00767,639.4,3.5,2170.8
emboss: trimseq103,60,21,12,50,7.6,7.7,7.7,0.00035,0.00020,0.00085,31.1,1.0,261.0
emboss: union105,1135,14,9,45,7.7,7.7,7.7,0.00024,0.00015,0.00077,2.3,1.0,4.0
emboss: water107,1996,23,11,74,7.6,7.7,7.7,0.00039,0.00019,0.00127,7.6,1.0,1.0
emboss: wobble108,1,11,11,11,7.7,7.7,7.7,0.00019,0.00019,0.00019,5.0,5.0,5.0
emboss: wordcount109,887,42,14,89,7.7,7.7,7.7,0.00072,0.00024,0.00150,7.5,1.0,8.1
emboss: wordmatch110,26,61,14,55,7.6,7.7,7.7,0.00105,0.00023,0.00094,6.8,5.0,12.0
encyclopedia_quantify,1,114,114,114,7.7,7.7,7.7,0.00194,0.00194,0.00194,3755.0,3755.0,3755.0
enumerate_charges,145,74,14,275,7.5,7.7,7.7,0.00123,0.00022,0.00448,1.0,1.0,1.0
episcanpy_build_matrix,9,1467,1414,3431,6.2,7.7,7.7,0.02483,0.02407,0.05840,1687.8,2522.0,3393.8
episcanpy_preprocess,38,77,41,164,4.1,2.8,7.7,0.00097,0.00050,0.00220,62.4,60.0,88.0
exomedepth,1236,1364,264,3731,7.6,7.7,7.7,0.02318,0.00449,0.06351,10888.7,6648.0,23791.3
exonerate,230,388,16,1860,29.5,30.0,30.7,0.03766,0.00145,0.20412,32.8,12.0,105.3
export2graphlan,72,112,25,534,5.0,2.8,7.7,0.00144,0.00037,0.00594,1.6,1.0,2.0
export_remote,483,3606,31,14266,7.7,7.7,7.7,0.06125,0.00053,0.24280,3613.4,10.0,29950.1
extract genomic dna 1,8126,63,17,154,7.5,7.7,7.7,0.00105,0.00027,0.00257,354.5,1.0,3052.0
extract_features1,1070,28,13,71,7.5,7.7,7.7,0.00046,0.00022,0.00118,181.2,10.0,1027.0
fargene,528,194,19,405,27.9,30.7,30.7,0.01873,0.00158,0.03620,769.1,13.0,2628.1
fasplit,3227,31,10,77,7.6,7.7,7.7,0.00051,0.00017,0.00127,469.2,1.0,1286.3
fasta-stats,8488,74,14,203,7.8,7.7,7.7,0.00127,0.00024,0.00348,189.6,4.0,689.9
fasta2tab,33115,25,11,70,7.5,7.7,7.7,0.00042,0.00019,0.00116,212.9,1.0,545.0
fasta_cli,16,112,28,393,7.7,7.7,7.7,0.00190,0.00049,0.00669,45.9,1.0,198.5
fasta_compute_length,11332,19,10,62,7.6,7.7,7.7,0.00033,0.00017,0.00106,70.9,1.0,229.0
fasta_concatenate0,9288,42,10,112,7.5,7.7,7.7,0.00065,0.00017,0.00191,15.1,1.0,5.0
fasta_filter_by_length,37168,16,10,46,7.6,7.7,7.7,0.00028,0.00017,0.00078,66.6,2.0,121.0
fasta_merge_files_and_filter_unique_sequences,29398,42,9,63,7.6,7.7,7.7,0.00070,0.00015,0.00107,95.8,1.0,102.1
fasta_nucleotide_color_plot,453,41,14,102,7.6,7.7,7.7,0.00066,0.00024,0.00174,4.1,1.0,11.4
fasta_regex_finder,139,393,68,691,5.9,7.7,7.7,0.00577,0.00116,0.00804,523.2,33.0,1883.0
fasterq_dump,23265,7492,1929,34268,29.7,30.7,30.7,0.70489,0.18267,3.23180,102.0,1.0,3.0
fastp,212086,83,23,366,30.8,30.7,46.1,0.00801,0.00202,0.03502,866.8,53.0,4550.0
fastpca,57,32,24,77,7.3,7.7,7.7,0.00051,0.00039,0.00132,63.4,1.0,239.4
fastq_combiner,40632,48,10,82,7.6,7.7,7.7,0.00081,0.00017,0.00140,23.0,1.0,1.0
fastq_dump,9757,10372,1912,51651,8.7,7.7,20.5,0.18643,0.03424,0.91460,292.9,1.0,1670.8
fastq_filter,18224,1109,56,5047,7.2,7.7,7.7,0.01800,0.00094,0.08097,658.1,42.0,2892.0
fastq_groomer,77056,3721,207,18294,7.7,7.7,7.8,0.06333,0.00352,0.31136,862.5,66.0,4162.3
fastq_info,3286,103,28,395,7.4,7.7,7.7,0.00164,0.00048,0.00647,1701.8,196.0,7433.8
fastq_join,24070,32,11,91,7.5,7.7,7.7,0.00054,0.00019,0.00150,324.9,11.0,516.0
fastq_manipulation,2188,2499,306,9452,7.4,7.7,7.7,0.04230,0.00520,0.16087,1507.8,191.0,5554.0
fastq_masker_by_quality,489,1168,97,6772,7.5,7.7,7.7,0.01980,0.00165,0.11526,616.2,90.0,2458.4
fastq_paired_end_deinterlacer,6436,5842,1247,22447,7.8,7.7,7.7,0.09999,0.02141,0.38506,2381.4,606.0,9945.0
fastq_paired_end_interlacer,13301,831,31,3872,7.9,7.7,7.7,0.01471,0.00053,0.06712,393.7,12.0,1618.0
fastq_paired_end_joiner,9257,1402,60,7368,15.0,15.4,15.4,0.03682,0.00159,0.19469,623.9,37.0,3521.4
fastq_paired_end_splitter,13065,1194,23,8563,7.5,7.7,7.7,0.02016,0.00038,0.14369,774.2,14.0,4274.6
fastq_quality_trimmer,11431,1850,78,9747,7.4,7.7,7.7,0.02997,0.00131,0.16299,1464.5,52.0,8692.5
fastq_stats,5697,2308,185,11659,7.4,7.7,7.7,0.03831,0.00308,0.18935,870.3,63.0,4063.4
fastq_to_fasta_python,67312,101,12,454,7.5,7.7,7.7,0.00169,0.00020,0.00751,409.2,8.0,1710.0
fastq_to_tabular,5882,114,17,377,7.4,7.7,7.7,0.00190,0.00029,0.00638,400.1,6.0,2791.5
fastq_trimmer,11931,2253,392,9965,7.4,7.7,7.7,0.03747,0.00660,0.16663,1438.9,410.0,5327.5
fastqc,1179109,198,70,678,14.7,7.7,30.7,0.00764,0.00209,0.02974,1192.6,321.0,4410.0
fastqe,6314,1958,18,9493,7.4,7.7,7.7,0.03229,0.00031,0.15912,758.9,1.0,3644.0
fasttree,7956,290,12,599,7.6,7.7,7.7,0.00549,0.00020,0.01030,3.9,1.0,7.0
fatovcf,27,526,17,3567,5.7,7.7,7.7,0.00883,0.00020,0.06071,457.6,12.0,4153.4
featurecounts,293575,81,26,295,28.7,30.1,30.7,0.00779,0.00219,0.02965,2269.7,1582.0,6719.0
featurecoverage1,117,281,176,881,7.4,7.7,7.7,0.00477,0.00300,0.01500,248.5,55.0,354.0
feelnc,64,9557,5490,31212,7.7,7.7,7.7,0.16908,0.09343,0.53120,402.9,35.0,3471.9
fetchflank,4,7,8,11,4.6,3.8,7.1,0.00010,0.00011,0.00018,8.8,1.0,27.4
ffindex_dbkit_create,27,27,13,111,7.5,7.7,7.7,0.00046,0.00022,0.00188,139.9,1.0,792.2
ffindex_dbkit_extract,7,10,10,14,7.1,7.7,7.7,0.00017,0.00017,0.00025,2.7,1.0,7.2
ffindex_dbkit_merge,1,11,11,11,3.8,3.8,3.8,0.00014,0.00014,0.00014,4.0,4.0,4.0
